SiteId,SiteLocation,TravelDirection,Year,Month,AvgSunday,AvgMonday,AvgTuesday,AvgWednesday,AvgThursday,AvgFriday,AvgSaturday,AvgDay,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,VehicleClassificationType
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,1,14395,11736,8870,9088,9881,15626,15634,12176,4.22,14.65,3.77,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,1,16601,12864,8613,8745,9260,12661,14589,11905,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,2,14989,12139,9055,9730,10885,17927,16015,12963,4.16,13.92,3.42,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,2,17703,11813,8808,8952,10789,15318,14438,12546,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,3,15674,11221,10129,10935,11864,18516,14908,13321,4.71,14.53,3.51,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,3,19077,10543,9758,10520,11608,15445,13951,12986,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,4,16425,12212,10807,11571,13390,22633,16128,14738,5.33,13.68,3.23,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,4,23298,12315,10285,10888,12324,16472,14481,14295,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,5,15475,13015,11046,11626,14646,27663,19323,16113,6.34,13.10,3.07,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,5,25320,19078,11670,10655,12497,17117,15341,15954,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,6,16895,13866,12629,13630,15863,26018,19588,16927,6.24,12.61,2.97,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,6,26998,14194,12257,12691,14174,17423,16341,16297,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,7,20001,15543,14818,14608,18308,27051,20661,18713,6.73,11.56,2.89,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,7,31292,16581,14003,13727,16124,19595,18778,18586,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,8,20926,16038,14374,15855,19018,31054,22422,19955,6.86,11.50,2.80,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,8,32636,16934,13907,14572,15805,19617,20075,19078,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,9,18662,14606,12671,12623,14500,23596,20630,16755,5.98,12.70,3.04,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,9,25746,19515,13313,12184,13403,18651,17474,17184,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,10,16327,12666,10929,11264,13915,24299,16256,15094,6.28,15.34,3.65,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,10,24065,12759,10732,10739,12582,16875,15111,14695,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,11,15220,11563,10559,13801,11794,17271,13964,13453,4.75,14.88,3.40,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,11,19542,11775,10104,11990,10740,14545,14790,13355,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2007,12,11717,11062,10191,12064,12661,16985,13223,12558,4.25,14.98,3.53,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2007,12,13114,10844,9869,11954,12225,14032,12437,12068,,,,
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2008,1,17549,11165,8970,9268,8326,17047,15714,12577,3.99,13.04,3.22,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Westbound,2008,1,19752,11654,9653,8355,7667,13656,14237,12139,3.60,13.03,1.93,Vehicle Length Classification
S901,"On SR 090 at milepost 47.71 A: AT TINKHAM ROAD UXING - TINKHAM                             ",Eastbound,2008,2,12805,11590,9042,9605,10316,11767,10490,10802,4.34,15.79,3.96,Vehicle Length Classification
